date,Steel,Aluminum,Copper,Platinum,Palladium,Rhodium,Lithium,Cobalt,Nickel,Natural_Gas,Polypropylene,ABS_Resin
2019-01-01,490.0,2350.0,9800.0,950.0,1000.0,4500.0,10.0,25000.0,16500.0,35.0,1200.0,1500.0
2019-02-01,502.6,2345.83,10428.54,899.02,963.8,4658.75,8.11,23003.39,16660.8,37.11,1237.49,1484.22
2019-03-01,489.69,2248.77,10749.06,889.92,903.24,5226.94,6.97,22712.31,15017.44,36.29,1329.64,1560.51
2019-04-01,504.52,2306.57,10698.82,911.65,909.63,5948.68,7.97,20840.4,13540.77,33.62,1273.11,1639.71
2019-05-01,518.93,2251.85,10630.66,999.21,827.21,5878.5,8.67,21982.67,13921.27,33.54,1248.34,1727.27
2019-06-01,478.53,2230.31,10155.49,932.0,779.84,6605.57,7.96,25276.96,13332.83,32.34,1197.26,1743.65
2019-07-01,450.38,2244.41,10236.21,905.45,786.94,6559.97,6.66,22536.08,11016.3,29.09,1137.13,1810.56
2019-08-01,445.99,2254.41,9841.73,932.2,840.95,5906.2,4.61,20708.28,11423.98,33.78,1105.88,1645.05
2019-09-01,436.56,2294.07,9111.33,944.95,868.91,5483.3,4.33,20887.31,11520.51,38.58,1157.35,1604.31
2019-10-01,434.92,2274.89,8474.47,920.44,722.8,4638.98,5.39,23528.1,10979.96,42.16,1238.28,1540.42
2019-11-01,424.23,2242.57,8593.23,917.09,743.14,4238.76,5.67,21295.94,10133.61,38.89,1225.86,1553.49
2019-12-01,442.63,2260.5,9410.03,853.84,756.73,4131.76,5.43,21986.1,10827.72,42.21,1334.62,1533.89
2020-01-01,461.9,2127.8,9634.92,855.51,792.5,4536.14,5.79,25621.51,11269.59,45.16,1355.49,1546.3
2020-02-01,470.21,2026.38,9720.85,855.67,899.37,5404.11,4.97,22532.01,13201.5,47.51,1471.91,1688.48
2020-03-01,494.14,1934.12,9974.1,877.3,774.35,4695.75,4.89,20433.26,13722.48,53.12,1479.9,1693.53
2020-04-01,504.22,1861.97,10693.9,853.19,745.62,4900.43,4.98,19838.73,14135.46,56.12,1491.31,1727.21
2020-05-01,487.33,1891.58,10770.33,873.88,775.95,4366.51,4.95,18960.94,13948.96,59.32,1505.13,1702.69
2020-06-01,488.44,1802.39,10423.58,915.77,681.39,4527.45,5.31,20024.95,14534.07,61.73,1677.86,1688.18
2020-07-01,465.35,1751.6,10857.53,910.64,744.65,4401.07,5.43,20142.61,14901.89,62.4,1705.82,1662.18
2020-08-01,472.58,1827.46,10926.8,915.43,754.36,3532.94,5.73,17019.86,15855.91,51.75,1627.67,1665.49
2020-09-01,466.63,1783.38,11659.68,908.1,792.76,3824.32,5.29,17570.9,15163.89,51.4,1668.55,1722.83
2020-10-01,461.86,1837.1,11708.97,904.42,757.91,3577.42,5.77,16717.42,14690.64,48.58,1632.84,1827.61
2020-11-01,452.99,1774.02,10995.6,870.4,806.89,3401.09,6.76,18555.97,14312.08,43.26,1602.88,1854.76
2020-12-01,477.78,1782.58,10320.26,896.65,879.78,3071.11,6.18,17844.92,15212.52,50.04,1676.49,1916.76
2021-01-01,482.53,1739.98,11372.76,905.42,908.69,2916.78,5.73,17221.36,16921.92,58.28,1699.6,1851.41
2021-02-01,482.61,1745.52,12567.68,1030.32,938.34,3094.43,6.62,18286.34,16674.78,65.93,1739.92,1869.3
2021-03-01,482.06,1834.21,12568.65,1135.49,967.32,3073.47,6.58,19662.63,16403.05,67.86,1754.95,1958.17
2021-04-01,493.12,1708.72,12351.04,1164.04,910.82,3193.55,7.56,20487.57,16801.08,75.83,1781.02,2030.85
2021-05-01,497.56,1740.21,13223.37,1106.95,898.15,3302.5,7.21,17656.38,16477.75,75.28,1799.61,2035.85
2021-06-01,499.36,1745.08,12309.71,1023.7,879.36,3707.6,8.19,18269.65,17291.99,75.47,1635.88,2081.78
2021-07-01,499.34,1680.56,11549.74,1077.4,890.97,3528.89,8.19,16532.98,14599.39,66.99,1651.41,2086.71
2021-08-01,528.29,1557.44,11746.63,1076.31,941.4,2960.32,8.29,16639.56,13638.76,67.99,1558.06,2149.89
2021-09-01,514.63,1551.39,11365.06,1092.68,859.89,3248.06,9.5,14603.27,12834.13,67.31,1447.53,2144.76
2021-10-01,503.08,1515.94,11304.47,977.22,849.13,3130.03,9.12,15119.53,10919.08,59.2,1435.67,2099.04
2021-11-01,490.68,1544.22,11244.31,1033.29,944.35,3501.08,8.29,14241.64,10325.77,58.97,1444.07,2130.49
2021-12-01,506.71,1569.66,11560.58,1071.44,903.76,3680.33,8.01,12963.77,9871.93,59.02,1416.93,1893.2
2022-01-01,534.35,1710.69,12583.64,1016.88,863.38,3688.93,8.51,13983.5,9934.94,69.05,1484.7,1947.99
2022-02-01,539.82,1724.07,12815.31,1003.41,889.75,3878.46,7.28,14530.29,10838.61,75.22,1422.65,1681.59
2022-03-01,529.39,1671.38,13369.77,1029.3,954.73,4694.91,7.85,14017.46,10823.32,75.78,1412.57,1580.0
2022-04-01,516.07,1697.46,11971.84,1035.93,959.49,5700.81,7.47,15785.6,10193.37,77.39,1382.98,1614.87
2022-05-01,525.58,1713.28,11884.26,1013.93,1047.62,5712.66,8.31,15217.85,10159.68,77.05,1373.73,1639.07
2022-06-01,533.17,1800.8,11231.67,996.67,1100.16,5737.18,6.25,15149.99,10763.05,74.55,1373.12,1544.53
2022-07-01,534.87,1843.48,10358.27,967.29,1149.06,6260.91,5.68,15305.27,9984.5,66.25,1296.4,1477.81
2022-08-01,514.31,1848.39,9735.51,960.92,1176.02,5631.52,4.67,14372.76,9306.83,64.15,1313.54,1536.57
2022-09-01,512.41,1947.79,9461.16,1030.62,1356.95,5749.87,4.25,14808.92,9573.04,59.09,1301.09,1489.28
2022-10-01,512.06,1843.09,9873.0,873.36,1328.91,5704.14,4.37,14163.96,9440.66,52.28,1195.52,1617.42
2022-11-01,517.76,1803.48,9230.12,865.21,1139.15,5902.44,4.33,13804.74,9911.64,54.67,1105.24,1622.6
2022-12-01,539.05,1755.11,9353.18,884.2,1284.17,5458.54,4.29,15556.12,10054.74,56.99,1117.82,1666.56
2023-01-01,550.98,1756.88,9260.84,913.26,1258.65,4645.81,4.32,14515.71,10703.29,48.72,1125.39,1800.85
2023-02-01,571.84,1682.36,9245.52,907.19,1285.71,3725.68,4.5,11918.48,10188.0,48.82,1138.29,1834.86
2023-03-01,578.69,1753.67,9839.45,824.27,1420.6,3342.76,4.11,13689.47,10333.11,53.49,1150.13,1776.8
2023-04-01,586.08,1749.52,10157.93,844.15,1258.68,3204.03,4.45,16640.51,10277.62,58.49,1166.01,1773.78
2023-05-01,595.81,1637.71,10823.34,925.56,1138.93,3101.25,4.76,16083.52,9490.29,63.26,1206.68,1762.35
2023-06-01,558.83,1555.75,10618.81,834.77,995.62,3673.14,4.92,13473.34,8503.72,62.57,1140.48,1645.42
2023-07-01,543.93,1560.82,10081.5,864.25,924.54,4025.23,5.14,13005.35,8794.63,56.92,1071.2,1603.36
2023-08-01,526.58,1600.12,9815.28,835.61,939.73,3579.7,5.24,12578.62,8518.25,50.63,1009.77,1531.13
2023-09-01,508.82,1725.42,9829.46,823.95,964.41,3665.96,6.27,12312.69,7925.4,51.43,1011.84,1570.26
2023-10-01,501.64,1940.24,9879.24,771.26,979.36,3501.93,6.21,11224.08,7896.25,52.77,1059.89,1565.1
2023-11-01,529.61,1986.54,9361.17,760.47,882.82,3417.25,6.06,11869.85,8549.02,58.74,1046.8,1552.74
2023-12-01,519.06,1925.87,9514.99,827.84,744.19,3522.74,5.68,12581.73,7442.18,64.86,952.8,1562.79
2024-01-01,544.34,1778.48,9777.99,869.36,759.62,3802.09,5.19,11297.8,6894.35,64.85,902.94,1600.24
2024-02-01,519.82,1831.42,11225.77,971.09,745.89,3727.86,4.63,12191.33,6649.46,58.48,888.51,1663.94
2024-03-01,519.2,1791.25,12447.99,1048.08,780.23,4174.77,4.29,14441.11,7409.77,57.3,881.05,1612.82
2024-04-01,524.09,1771.64,11929.51,1078.11,824.09,3707.39,4.3,14762.21,7633.25,58.43,873.24,1550.45
2024-05-01,532.53,1723.88,11696.18,1181.09,829.94,3697.08,4.46,14365.24,8033.65,57.01,874.62,1613.45
2024-06-01,539.6,1701.23,10683.16,1196.34,866.91,4619.19,4.46,14111.07,7428.8,53.41,857.71,1569.06
2024-07-01,545.9,1759.61,10200.26,1233.09,868.76,4651.23,4.08,14656.27,6857.48,53.63,884.25,1457.08
2024-08-01,530.75,1750.39,10212.27,1191.51,888.9,5242.2,4.42,12474.75,7007.42,50.38,850.16,1461.51
2024-09-01,516.03,1724.18,10730.37,1180.66,834.52,5226.29,4.72,12566.57,7013.59,46.98,814.52,1472.58
2024-10-01,528.87,1645.29,10276.3,1126.34,820.79,5504.54,4.65,12185.39,7286.05,47.95,830.21,1375.82
2024-11-01,527.09,1538.17,9965.95,1193.88,836.43,5488.74,4.39,14131.08,7285.58,46.37,785.11,1395.22
2024-12-01,509.06,1529.65,8954.01,1122.96,896.43,5448.21,4.71,14148.16,7555.3,47.79,810.15,1453.67
2025-01-01,496.34,1556.56,9021.4,1189.92,884.39,5089.02,4.9,16360.71,7804.66,49.56,829.49,1498.52
2025-02-01,487.77,1708.17,8659.72,1192.43,931.74,5385.11,4.27,15176.18,8370.45,45.22,840.5,1560.03
2025-03-01,501.72,1742.71,8524.58,1284.88,923.88,4969.23,4.32,16127.99,8950.13,43.73,907.76,1487.24
2025-04-01,506.28,1830.21,8181.65,1343.27,919.85,5320.29,4.48,16665.02,8113.75,49.32,891.52,1513.7
2025-05-01,516.45,1789.19,8125.9,1475.72,971.37,5875.36,4.09,15487.3,6986.47,44.08,965.27,1489.81
2025-06-01,503.32,1684.99,7320.83,1517.57,822.69,6020.1,4.15,15599.65,7415.06,35.56,948.8,1445.73
2025-07-01,498.64,1597.09,6683.47,1355.12,735.42,5751.2,3.52,16931.67,7916.42,29.39,889.11,1475.35
2025-08-01,501.81,1530.55,7335.43,1326.41,648.04,5917.2,3.97,16289.05,7347.81,29.08,881.19,1540.51
2025-09-01,490.81,1660.08,6787.08,1219.74,534.46,5660.19,4.45,13953.94,6465.29,28.89,836.34,1633.41
2025-10-01,496.48,1600.29,6395.61,1175.93,508.37,6161.9,4.34,13936.58,6541.22,28.53,810.76,1711.71
2025-11-01,486.99,1671.6,7059.39,1281.67,540.41,5032.51,4.55,13033.66,7018.45,31.71,830.58,1709.0
2025-12-01,486.29,1630.22,8236.94,1340.88,537.42,4911.38,3.51,12881.61,7967.82,24.68,862.09,1750.79
