date,gdp_growth_pct,interest_rate_pct,usd_gbp,usd_eur,cpi_index,oil_price_usd,manufacturing_pmi,china_ppi_yoy,dxy_index,baltic_dry_index,us_ppi_yoy,ev_sales_growth_pct
2019-01-01,2.5,4.5,0.79,0.92,110.0,80.0,51.0,1.0,102.0,1500.0,2.0,17.5
2019-02-01,2.6759,4.2521,0.8027,0.9044,76.709,81.1419,5.1,0.1655,92.3906,1567.069,2.3429,1.7846
2019-03-01,2.031,3.5202,0.808,0.8998,43.1206,87.5127,5.1,0.1408,10.2,1516.1754,3.9235,4.459
2019-04-01,2.3889,3.7758,0.8056,0.9044,43.8999,95.8479,11.8888,0.1,10.2,1398.7954,1.9883,12.0175
2019-05-01,2.9092,3.526,0.8049,0.9272,20.9393,95.264,21.7575,0.1628,16.6428,1400.8573,1.6614,36.9768
2019-06-01,1.5933,3.5405,0.7956,0.9139,15.0767,104.4682,8.688,0.4079,10.2,1365.2121,1.1231,65.07
2019-07-01,1.1255,3.7942,0.8017,0.9107,17.351,104.9997,5.1,0.1,10.2,1246.0984,0.697,192.7275
2019-08-01,1.1759,4.0446,0.7953,0.921,26.2627,98.4875,5.1,0.1,20.2089,1468.8831,0.6115,1.75
2019-09-01,1.1066,4.4368,0.7783,0.9268,33.3949,94.1394,5.1,0.1282,27.2462,1696.18,1.0034,1.75
2019-10-01,1.1197,4.3743,0.7612,0.9217,11.0,83.9865,16.5553,0.2882,10.2,1861.7503,1.8117,1.75
2019-11-01,0.9164,4.1081,0.7638,0.9199,12.6972,78.5767,23.3645,0.1,10.2,1710.8678,1.55,2.1824
2019-12-01,1.1223,4.0641,0.7849,0.9016,13.3365,76.556,12.5026,0.1292,20.8091,1836.1464,2.8332,1.75
2020-01-01,1.3411,3.0779,0.7872,0.8987,15.9684,81.0187,18.1798,0.31,29.88,1935.6156,2.8685,1.75
2020-02-01,1.376,2.4469,0.7856,0.8955,27.3787,91.0733,5.1,0.1,112.6866,2006.8951,5.0381,6.6354
2020-03-01,1.7482,1.9968,0.7895,0.8987,11.0,81.9149,5.1,0.1,167.2721,2220.7103,4.8042,5.1005
2020-04-01,1.9464,1.7303,0.8074,0.8917,11.0,84.2244,6.3044,0.1,241.6128,2338.0997,5.0488,8.2502
2020-05-01,1.5671,1.8532,0.8103,0.8981,14.0621,77.8714,6.5792,0.1,193.878,2482.3544,5.8173,5.5614
2020-06-01,1.7122,1.633,0.8043,0.9114,11.0,80.5533,11.8254,0.1699,375.9649,2612.7263,13.7865,6.2686
2020-07-01,1.3429,1.5678,0.8196,0.9136,18.2777,79.7876,16.0078,0.2099,645.0481,2682.4186,18.7505,6.4166
2020-08-01,1.6298,1.8862,0.8253,0.9183,21.4223,69.2463,25.8561,0.1,1572.8542,2260.1953,12.8406,10.6612
2020-09-01,1.6218,1.811,0.8469,0.919,29.4968,73.9571,10.8611,0.1484,613.7831,2271.4952,18.12,28.6501
2020-10-01,1.5636,2.0262,0.8491,0.919,22.4057,70.7683,19.975,0.1,300.9294,2156.9394,15.1198,96.6816
