date,segment,production_units,sales_units,ending_inventory,capacity_utilization_pct,warranty_claims
2019-01-01,Luxury_SUV,9445,7564,15631,85.9,170
2019-02-01,Luxury_SUV,10028,6562,19097,91.2,161
2019-03-01,Luxury_SUV,9283,8360,20020,84.4,85
2019-04-01,Luxury_SUV,8384,9675,18729,76.2,229
2019-05-01,Luxury_SUV,9227,9948,18008,83.9,154
2019-06-01,Luxury_SUV,8378,9113,17273,76.2,82
2019-07-01,Luxury_SUV,9971,8653,18591,90.6,180
2019-08-01,Luxury_SUV,8542,10053,17080,77.7,233
2019-09-01,Luxury_SUV,8774,8320,17534,79.8,132
2019-10-01,Luxury_SUV,9501,9162,17873,86.4,179
2019-11-01,Luxury_SUV,11129,8261,20741,100.0,111
2019-12-01,Luxury_SUV,8420,9385,19776,76.5,105
2020-01-01,Luxury_SUV,9062,7784,21054,82.4,92
2020-02-01,Luxury_SUV,9763,9525,21292,88.8,211
2020-03-01,Luxury_SUV,8093,9305,20080,73.6,206
2020-04-01,Luxury_SUV,9379,8836,20623,85.3,113
2020-05-01,Luxury_SUV,9965,8954,21634,90.6,102
2020-06-01,Luxury_SUV,9228,9026,21836,83.9,174
2020-07-01,Luxury_SUV,7830,8356,21310,71.2,132
2020-08-01,Luxury_SUV,8581,8405,21486,78.0,83
2020-09-01,Luxury_SUV,8372,9773,20085,76.1,172
2020-10-01,Luxury_SUV,8859,8887,20057,80.5,154
2020-11-01,Luxury_SUV,9818,9581,20294,89.3,81
2020-12-01,Luxury_SUV,8742,9652,19384,79.5,144
2021-01-01,Luxury_SUV,7997,7461,19920,72.7,67
2021-02-01,Luxury_SUV,9622,8865,20677,87.5,170
2021-03-01,Luxury_SUV,8775,8882,20570,79.8,171
2021-04-01,Luxury_SUV,8883,9210,20243,80.8,99
2021-05-01,Luxury_SUV,8833,8288,20788,80.3,168
2021-06-01,Luxury_SUV,9613,8191,22210,87.4,135
2021-07-01,Luxury_SUV,9607,9199,22618,87.3,143
2021-08-01,Luxury_SUV,9076,8242,23452,82.5,154
2021-09-01,Luxury_SUV,7619,7116,23955,69.3,71
2021-10-01,Luxury_SUV,8252,9148,23059,75.0,181
2021-11-01,Luxury_SUV,8820,10137,21742,80.2,215
2021-12-01,Luxury_SUV,9842,7681,23903,89.5,96
2022-01-01,Luxury_SUV,8295,8335,23863,75.4,131
2022-02-01,Luxury_SUV,7583,9186,22260,68.9,163
2022-03-01,Luxury_SUV,8622,7117,23765,78.4,148
2022-04-01,Luxury_SUV,8681,8964,23482,78.9,167
2022-05-01,Luxury_SUV,10634,8445,25671,96.7,79
2022-06-01,Luxury_SUV,9331,8950,26052,84.8,146
2022-07-01,Luxury_SUV,9932,9100,26884,90.3,88
2022-08-01,Luxury_SUV,8076,8004,26956,73.4,189
2022-09-01,Luxury_SUV,8809,7193,28572,80.1,129
2022-10-01,Luxury_SUV,8962,7090,30444,81.5,114
2022-11-01,Luxury_SUV,9454,9630,30268,85.9,156
2022-12-01,Luxury_SUV,11837,9164,32941,100.0,162
2023-01-01,Luxury_SUV,7212,9002,31151,65.6,122
2023-02-01,Luxury_SUV,8785,8035,31901,79.9,67
2023-03-01,Luxury_SUV,10143,8881,33163,92.2,92
2023-04-01,Luxury_SUV,8217,6866,34514,74.7,133
2023-05-01,Luxury_SUV,9117,10653,32978,82.9,224
2023-06-01,Luxury_SUV,10067,8159,34886,91.5,97
2023-07-01,Luxury_SUV,8281,7910,35257,75.3,113
2023-08-01,Luxury_SUV,8413,9630,34040,76.5,128
2023-09-01,Luxury_SUV,10020,9131,34929,91.1,152
2023-10-01,Luxury_SUV,9129,7988,36070,83.0,86
2023-11-01,Luxury_SUV,8749,7360,37459,79.5,183
