date,segment,volume,avg_price_usd,incentive_pct,region
2019-01-01,Luxury_SUV,5942,101724.05,0.0715,UK
2019-02-01,Luxury_SUV,5212,100898.13,0.0657,CN
2019-03-01,Luxury_SUV,6679,102312.91,0.0422,ROW
2019-04-01,Luxury_SUV,7240,108550.81,0.0466,NA
2019-05-01,Luxury_SUV,7806,101979.52,0.0697,UK
2019-06-01,Luxury_SUV,7616,102855.07,0.0782,CN
2019-07-01,Luxury_SUV,7347,103890.78,0.048,NA
2019-08-01,Luxury_SUV,7489,106357.09,0.0647,ROW
2019-09-01,Luxury_SUV,6478,102436.62,0.0482,NA
2019-10-01,Luxury_SUV,6202,102353.51,0.0336,UK
2019-11-01,Luxury_SUV,6247,106710.94,0.0699,CN
2019-12-01,Luxury_SUV,5824,105688.87,0.0609,NA
2020-01-01,Luxury_SUV,6238,105212.87,0.0672,UK
2020-02-01,Luxury_SUV,5565,103993.04,0.0475,UK
2020-03-01,Luxury_SUV,6672,109709.07,0.0601,EU
2020-04-01,Luxury_SUV,6356,103945.11,0.0581,UK
2020-05-01,Luxury_SUV,8173,107499.04,0.0218,EU
2020-06-01,Luxury_SUV,8425,104397.39,0.0712,NA
2020-07-01,Luxury_SUV,7187,106566.06,0.0376,UK
2020-08-01,Luxury_SUV,7140,105499.4,0.0599,EU
2020-09-01,Luxury_SUV,7140,102914.93,0.0214,NA
2020-10-01,Luxury_SUV,5771,106533.96,0.0297,EU
2020-11-01,Luxury_SUV,6244,106406.57,0.0468,EU
2020-12-01,Luxury_SUV,5684,104748.89,0.0417,NA
2021-01-01,Luxury_SUV,5394,101858.67,0.0745,UK
2021-02-01,Luxury_SUV,6229,109092.57,0.0667,CN
2021-03-01,Luxury_SUV,6436,104352.87,0.0258,ROW
2021-04-01,Luxury_SUV,7992,99558.94,0.0384,UK
2021-05-01,Luxury_SUV,7509,100444.92,0.0655,CN
2021-06-01,Luxury_SUV,8186,105068.83,0.055,UK
2021-07-01,Luxury_SUV,7261,105564.72,0.0225,EU
2021-08-01,Luxury_SUV,8040,106124.14,0.0262,UK
2021-09-01,Luxury_SUV,6662,102081.29,0.0549,EU
2021-10-01,Luxury_SUV,6836,104300.0,0.0775,EU
2021-11-01,Luxury_SUV,6283,107640.1,0.0492,EU
2021-12-01,Luxury_SUV,6196,101882.95,0.0484,NA
2022-01-01,Luxury_SUV,5748,103691.62,0.0463,NA
