date,segment,vehicles_sold,claims_count,claims_per_1000,avg_claim_gbp,warranty_cost_gbp,warranty_pct_revenue,dominant_failure_mode,accrual_gbp,accrual_adequacy_pct
2019-01-01,EV,1278,26,20.52,3432.0,89232.0,0.118,Infotainment,2564573.7,2874.05
2019-01-01,Luxury_SUV,8146,211,25.92,1350.0,284850.0,0.047,Infotainment,18328519.92,6434.45
2019-01-01,Performance,4586,109,23.76,1200.0,130800.0,0.065,Electrical,5650695.06,4320.1
2019-01-01,Premium_SUV,10198,297,29.16,1050.0,311850.0,0.062,Powertrain,15491003.26,4967.45
2019-02-01,EV,1383,27,19.47,3174.66,85715.73,0.105,Battery/EV,2774675.27,3237.07
2019-02-01,Luxury_SUV,7874,186,23.61,1493.38,277768.52,0.047,Suspension,17718740.82,6378.96
2019-02-01,Performance,5532,133,24.06,1176.64,156492.91,0.064,Powertrain,6815661.51,4355.25
2019-02-01,Premium_SUV,11132,295,26.54,1078.93,318283.96,0.058,Infotainment,16910097.73,5312.9
2019-03-01,EV,1485,28,19.07,3079.12,86215.26,0.098,Electrical,2980558.72,3457.11
2019-03-01,Luxury_SUV,9680,217,22.37,1480.41,321248.66,0.044,Infotainment,21780825.46,6780.05
2019-03-01,Performance,5013,120,23.84,1210.42,145250.49,0.066,Powertrain,6176716.05,4252.46
2019-03-01,Premium_SUV,13322,359,26.94,1107.02,397421.09,0.061,Electrical,20236709.84,5092.01
2019-04-01,EV,1650,31,18.95,3270.75,101393.28,0.104,Infotainment,3310084.55,3264.6
2019-04-01,Luxury_SUV,10555,238,22.54,1536.35,365651.01,0.046,Electrical,23749819.14,6495.22
2019-04-01,Performance,5485,118,21.46,1165.69,137551.29,0.057,Body,6758152.41,4913.19
2019-04-01,Premium_SUV,13070,332,25.42,1125.69,373727.47,0.058,Suspension,19853841.05,5312.38
2019-05-01,EV,1900,36,18.69,3340.9,120272.49,0.107,Electrical,3812584.74,3169.96
2019-05-01,Luxury_SUV,9002,203,22.52,1508.86,306297.96,0.045,Body,20255688.7,6613.07
2019-05-01,Performance,6438,128,19.95,1197.66,153300.16,0.054,Powertrain,7932314.65,5174.37
2019-05-01,Premium_SUV,14302,306,21.38,1128.6,345350.11,0.049,Powertrain,21726216.93,6291.07
2019-06-01,EV,1444,28,19.31,3416.64,95665.8,0.112,Suspension,2897780.83,3029.07
2019-06-01,Luxury_SUV,9660,215,22.24,1514.08,325527.35,0.045,Suspension,21736364.46,6677.28
2019-06-01,Performance,6107,128,20.97,1142.38,146224.7,0.054,Powertrain,7524536.4,5145.87
2019-06-01,Premium_SUV,16340,369,22.6,1041.24,384216.47,0.048,Powertrain,24820666.39,6460.07
2019-07-01,EV,1708,34,19.79,3676.24,124992.23,0.124,Electrical,3427099.99,2741.85
2019-07-01,Luxury_SUV,10554,216,20.44,1484.03,320551.0,0.04,Body,23747940.09,7408.47
2019-07-01,Performance,6179,124,20.14,1148.87,142460.0,0.052,Powertrain,7612896.57,5343.88
2019-07-01,Premium_SUV,14372,333,23.17,1050.89,349945.75,0.05,Body,21832481.04,6238.82
2019-08-01,EV,1680,31,18.58,3692.96,114481.67,0.115,Powertrain,3370152.62,2943.84
2019-08-01,Luxury_SUV,9748,180,18.43,1454.27,261768.61,0.036,Suspension,21934002.27,8379.16
2019-08-01,Performance,5823,132,22.69,1169.83,154417.26,0.06,Powertrain,7174494.66,4646.17
2019-08-01,Premium_SUV,14772,338,22.88,1031.8,348749.12,0.048,Suspension,22439619.21,6434.32
2019-09-01,EV,1582,32,20.39,3732.47,119439.15,0.128,Battery/EV,3173723.39,2657.19
2019-09-01,Luxury_SUV,9277,184,19.88,1397.51,257142.1,0.037,Body,20875419.91,8118.24
2019-09-01,Performance,5618,129,22.95,1301.11,167842.71,0.068,Body,6922106.0,4124.16
2019-09-01,Premium_SUV,12233,274,22.36,985.99,270160.56,0.045,Powertrain,18582667.7,6878.38
2019-10-01,EV,1402,28,20.18,4046.42,113299.63,0.137,Battery/EV,2812521.25,2482.37
2019-10-01,Luxury_SUV,8092,168,20.8,1419.03,238397.81,0.039,Body,18207995.16,7637.65
2019-10-01,Performance,5586,134,23.97,1220.17,163502.41,0.067,Electrical,6882718.96,4209.55
2019-10-01,Premium_SUV,11952,301,25.16,1076.3,323967.67,0.055,Powertrain,18156211.42,5604.33
2019-11-01,EV,1192,26,21.62,3895.69,101287.81,0.144,Battery/EV,2391841.58,2361.43
2019-11-01,Luxury_SUV,8607,197,22.87,1366.23,269147.94,0.042,Powertrain,19367942.1,7196.02
2019-11-01,Performance,4821,127,26.37,1295.26,164497.85,0.078,Suspension,5940647.89,3611.38
2019-11-01,Premium_SUV,10666,288,27.04,1151.31,331577.32,0.063,Powertrain,16201964.69,4886.33
2019-12-01,EV,1364,30,21.76,3694.87,110846.17,0.138,Battery/EV,2736289.92,2468.55
2019-12-01,Luxury_SUV,8366,208,24.85,1408.17,292899.34,0.047,Body,18824651.89,6427.0
2019-12-01,Performance,4899,130,26.55,1291.18,167853.26,0.078,Powertrain,6036698.14,3596.41
2019-12-01,Premium_SUV,10915,343,31.46,1196.14,410274.59,0.077,Infotainment,16580057.24,4041.21
2020-01-01,EV,1536,32,21.12,3702.86,118491.56,0.131,Suspension,3081422.48,2600.54
2020-01-01,Luxury_SUV,8173,208,25.44,1465.65,304855.4,0.05,Electrical,18389255.4,6032.12
2020-01-01,Performance,4117,103,25.01,1301.28,134031.48,0.074,Infotainment,5072610.49,3784.64
2020-01-01,Premium_SUV,12137,387,31.86,1185.09,458631.57,0.077,Electrical,18437347.63,4020.08
2020-02-01,EV,1305,25,18.85,3710.92,92772.89,0.12,Battery/EV,2619054.49,2823.08
2020-02-01,Luxury_SUV,9346,245,26.26,1472.55,360773.57,0.051,Infotainment,21029496.68,5829.0
2020-02-01,Performance,5101,124,24.39,1295.47,160638.49,0.072,Electrical,6285070.81,3912.56
2020-02-01,Premium_SUV,10730,339,31.57,1223.95,414919.96,0.079,Powertrain,16300139.54,3928.5
2020-03-01,EV,1683,31,18.29,3584.63,111123.38,0.112,Battery/EV,3377086.73,3039.04
2020-03-01,Luxury_SUV,9687,249,25.71,1442.39,359155.71,0.049,Infotainment,21796965.83,6068.95
2020-03-01,Performance,5215,123,23.51,1307.45,160816.23,0.07,Electrical,6425952.45,3995.84
2020-03-01,Premium_SUV,13620,408,29.95,1197.79,488700.06,0.073,Powertrain,20688798.33,4233.43
2020-04-01,EV,1673,27,16.28,3414.1,92180.65,0.093,Battery/EV,3357805.93,3642.64
2020-04-01,Luxury_SUV,9492,239,25.21,1459.97,348932.23,0.049,Suspension,21359181.9,6121.3
2020-04-01,Performance,5459,115,20.98,1287.97,148116.45,0.062,Suspension,6725828.61,4540.91
2020-04-01,Premium_SUV,14469,427,29.54,1185.52,506217.6,0.071,Electrical,21979023.14,4341.81
2020-05-01,EV,1800,30,16.83,3737.71,112131.22,0.106,Powertrain,3610971.61,3220.31
2020-05-01,Luxury_SUV,10908,253,23.16,1432.11,362323.72,0.044,Suspension,24543296.97,6773.86
2020-05-01,Performance,5897,118,20.07,1352.58,159604.18,0.062,Suspension,7265434.72,4552.16
2020-05-01,Premium_SUV,14360,412,28.68,1119.88,461389.07,0.066,Suspension,21813747.03,4727.84
2020-06-01,EV,1711,30,17.71,3723.86,111715.74,0.111,Infotainment,3432355.13,3072.4
2020-06-01,Luxury_SUV,10112,225,22.23,1479.87,332970.48,0.044,Electrical,22753628.55,6833.53
2020-06-01,Performance,6255,118,18.9,1310.06,154586.75,0.056,Suspension,7707194.94,4985.68
2020-06-01,Premium_SUV,13728,396,28.84,1132.41,448433.97,0.067,Infotainment,20854098.61,4650.43
2020-07-01,EV,1779,30,16.65,3567.1,107012.85,0.102,Electrical,3569304.0,3335.4
2020-07-01,Luxury_SUV,11324,252,22.21,1363.8,343676.99,0.04,Body,25479399.29,7413.76
2020-07-01,Performance,6708,134,19.93,1355.54,181642.33,0.062,Powertrain,8264362.11,4549.8
2020-07-01,Premium_SUV,15108,410,27.13,1128.26,462585.09,0.062,Electrical,22949550.73,4961.15
2020-08-01,EV,1898,32,17.08,3668.7,117398.55,0.105,Infotainment,3808422.9,3244.01
2020-08-01,Luxury_SUV,10130,237,23.36,1355.08,321153.07,0.042,Body,22794044.06,7097.56
2020-08-01,Performance,5449,110,20.26,1303.96,143435.1,0.06,Powertrain,6713840.01,4680.75
2020-08-01,Premium_SUV,13794,365,26.43,1065.85,389036.34,0.058,Powertrain,20953341.51,5385.96
2020-09-01,EV,1691,29,16.91,3608.98,104660.42,0.105,Powertrain,3392701.73,3241.63
2020-09-01,Luxury_SUV,9349,219,23.43,1255.5,274954.56,0.039,Electrical,21036708.46,7650.98
2020-09-01,Performance,5609,116,20.64,1292.24,149900.11,0.061,Infotainment,6910563.74,4610.11
2020-09-01,Premium_SUV,13564,358,26.38,1070.9,383382.66,0.058,Powertrain,20604646.99,5374.43
2020-10-01,EV,1691,29,17.1,3541.51,102703.81,0.103,Suspension,3393909.19,3304.56
2020-10-01,Luxury_SUV,8357,209,24.95,1203.96,251626.84,0.04,Powertrain,18804671.64,7473.24
2020-10-01,Performance,5010,108,21.49,1232.66,133126.86,0.06,Powertrain,6172351.39,4636.44
2020-10-01,Premium_SUV,12385,352,28.45,1074.13,378092.64,0.062,Powertrain,18812829.5,4975.72
2020-11-01,EV,1542,29,18.67,3599.93,104398.07,0.115,Battery/EV,3093676.11,2963.35
2020-11-01,Luxury_SUV,8975,228,25.42,1324.49,301982.93,0.045,Powertrain,20195813.39,6687.73
2020-11-01,Performance,4773,108,22.71,1261.94,136289.02,0.065,Body,5881278.36,4315.3
2020-11-01,Premium_SUV,12957,407,31.39,1159.6,471957.0,0.074,Body,19681946.37,4170.28
2020-12-01,EV,1440,28,19.13,3391.34,94957.66,0.112,Body,2888903.89,3042.31
